Country,State,City,Postal Code,Region,source_filename,file_month
United States,Ohio,Columbus,43229,East,201902_Orders_2019_03_04_02_26_31.csv,201902
United States,Illinois,Elmhurst,60126,Central,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,Washington,Seattle,98115,West,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,Texas,El Paso,79907,Central,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,New York,New York City,10035,East,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,Texas,Houston,77036,Central,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,New York,New York City,10009,East,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,Pennsylvania,Philadelphia,19120,East,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,North Carolina,Wilmington,28403,South,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,Ohio,Columbus,43229,East,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,Texas,Houston,77095,Central,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,California,San Diego,92037,West,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,Florida,Margate,33063,South,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,South Carolina,Columbia,29203,South,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,New York,Yonkers,10701,East,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,Washington,Seattle,98103,West,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,Washington,Des Moines,98198,West,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,Colorado,Denver,80219,West,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,Michigan,Royal Oak,48073,Central,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,California,Roseville,95661,West,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,Kentucky,Richmond,40475,South,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,New York,New York City,10024,East,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,Virginia,Chesapeake,23320,South,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,California,Huntington Beach,92646,West,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,Florida,Jacksonville,32216,South,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,Utah,Logan,84321,West,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,Illinois,Chicago,60653,Central,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,Florida,Tampa,33614,South,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,North Carolina,Raleigh,27604,South,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,Mississippi,Jackson,39212,South,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,Pennsylvania,Philadelphia,19134,East,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,Minnesota,Lakeville,55044,Central,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,Texas,Dallas,75217,Central,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,California,Burbank,91505,West,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,California,San Francisco,94110,West,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,Florida,Lakeland,33801,South,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,Virginia,Springfield,22153,South,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,Tennessee,Knoxville,37918,South,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,Ohio,Hamilton,45011,East,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,North Carolina,Asheville,28806,South,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,Arizona,Tucson,85705,West,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,North Carolina,Greensboro,27405,South,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,Indiana,Portage,46368,Central,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,Florida,Delray Beach,33445,South,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,California,Los Angeles,90036,West,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,California,Fresno,93727,West,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,California,Pomona,91767,West,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,California,San Francisco,94122,West,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,Iowa,Des Moines,50315,Central,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,New Mexico,Albuquerque,87105,West,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,Ohio,Springfield,45503,East,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,Texas,Plano,75023,Central,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,Texas,Brownsville,78521,Central,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,Minnesota,Apple Valley,55124,Central,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,Washington,Seattle,98105,West,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,New York,Long Beach,11561,East,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,Florida,Miami,33180,South,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,Illinois,Chicago,60610,Central,201903_Orders_2019_04_01_20_39_17.csv,201903
United States,Illinois,Elmhurst,60126,Central,201903_Orders_2019_04_04_08_51_54.csv,201903
United States,Washington,Seattle,98115,West,201903_Orders_2019_04_04_08_51_54.csv,201903
United States,Texas,El Paso,79907,Central,201903_Orders_2019_04_04_08_51_54.csv,201903
United States,New York,New York City,10035,East,201903_Orders_2019_04_04_08_51_54.csv,201903
United States,Texas,Houston,77036,Central,201903_Orders_2019_04_04_08_51_54.csv,201903
United States,New York,New York City,10009,East,201903_Orders_2019_04_04_08_51_54.csv,201903
United States,Pennsylvania,Philadelphia,19120,East,201903_Orders_2019_04_04_08_51_54.csv,201903
United States,North Carolina,Wilmington,28403,South,201903_Orders_2019_04_04_08_51_54.csv,201903
United States,Ohio,Columbus,43229,East,201903_Orders_2019_04_04_08_51_54.csv,201903
United States,Texas,Houston,77095,Central,201903_Orders_2019_04_04_08_51_54.csv,201903
United States,California,San Diego,92037,West,201903_Orders_2019_04_04_08_51_54.csv,201903
United States,Florida,Margate,33063,South,201903_Orders_2019_04_04_08_51_54.csv,201903
United States,South Carolina,Columbia,29203,South,201903_Orders_2019_04_04_08_51_54.csv,201903
United States,New York,Yonkers,10701,East,201903_Orders_2019_04_04_08_51_54.csv,201903
United States,Washington,Seattle,98103,West,201903_Orders_2019_04_04_08_51_54.csv,201903
United States,Washington,Des Moines,98198,West,201903_Orders_2019_04_04_08_51_54.csv,201903
United States,Colorado,Denver,80219,West,201903_Orders_2019_04_04_08_51_54.csv,201903
United States,Michigan,Royal Oak,48073,Central,201903_Orders_2019_04_04_08_51_54.csv,201903
United States,California,Roseville,95661,West,201903_Orders_2019_04_04_08_51_54.csv,201903
United States,Kentucky,Richmond,40475,South,201903_Orders_2019_04_04_08_51_54.csv,201903
United States,New York,New York City,10024,East,201903_Orders_2019_04_04_08_51_54.csv,201903
United States,Virginia,Chesapeake,23320,South,201903_Orders_2019_04_04_08_51_54.csv,201903
United States,Illinois,Elmhurst,60126,Central,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,Washington,Seattle,98115,West,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,Texas,El Paso,79907,Central,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,New York,New York City,10035,East,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,Texas,Houston,77036,Central,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,New York,New York City,10009,East,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,Pennsylvania,Philadelphia,19120,East,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,North Carolina,Wilmington,28403,South,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,Ohio,Columbus,43229,East,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,Texas,Houston,77095,Central,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,California,San Diego,92037,West,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,Florida,Margate,33063,South,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,South Carolina,Columbia,29203,South,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,New York,Yonkers,10701,East,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,Washington,Seattle,98103,West,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,Washington,Des Moines,98198,West,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,Colorado,Denver,80219,West,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,Michigan,Royal Oak,48073,Central,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,California,Roseville,95661,West,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,Kentucky,Richmond,40475,South,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,New York,New York City,10024,East,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,Virginia,Chesapeake,23320,South,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,California,Huntington Beach,92646,West,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,Florida,Jacksonville,32216,South,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,Utah,Logan,84321,West,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,Illinois,Chicago,60653,Central,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,Florida,Tampa,33614,South,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,North Carolina,Raleigh,27604,South,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,Mississippi,Jackson,39212,South,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,Pennsylvania,Philadelphia,19134,East,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,Minnesota,Lakeville,55044,Central,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,Texas,Dallas,75217,Central,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,California,Burbank,91505,West,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,California,San Francisco,94110,West,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,Florida,Lakeland,33801,South,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,Virginia,Springfield,22153,South,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,Tennessee,Knoxville,37918,South,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,Ohio,Hamilton,45011,East,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,North Carolina,Asheville,28806,South,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,Arizona,Tucson,85705,West,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,North Carolina,Greensboro,27405,South,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,Indiana,Portage,46368,Central,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,Florida,Delray Beach,33445,South,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,California,Los Angeles,90036,West,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,California,Fresno,93727,West,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,California,Pomona,91767,West,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,California,San Francisco,94122,West,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,Iowa,Des Moines,50315,Central,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,New Mexico,Albuquerque,87105,West,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,Ohio,Springfield,45503,East,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,Texas,Plano,75023,Central,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,Texas,Brownsville,78521,Central,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,Minnesota,Apple Valley,55124,Central,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,Washington,Seattle,98105,West,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,New York,Long Beach,11561,East,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,Florida,Miami,33180,South,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,Illinois,Chicago,60610,Central,201903_Orders_2019_04_07_08_14_44.csv,201903
United States,Illinois,Elmhurst,60126,Central,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,Washington,Seattle,98115,West,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,Texas,El Paso,79907,Central,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,New York,New York City,10035,East,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,Texas,Houston,77036,Central,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,New York,New York City,10009,East,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,Pennsylvania,Philadelphia,19120,East,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,North Carolina,Wilmington,28403,South,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,Ohio,Columbus,43229,East,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,Texas,Houston,77095,Central,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,California,San Diego,92037,West,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,Florida,Margate,33063,South,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,South Carolina,Columbia,29203,South,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,New York,Yonkers,10701,East,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,Washington,Seattle,98103,West,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,Washington,Des Moines,98198,West,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,Colorado,Denver,80219,West,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,Michigan,Royal Oak,48073,Central,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,California,Roseville,95661,West,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,Kentucky,Richmond,40475,South,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,New York,New York City,10024,East,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,Virginia,Chesapeake,23320,South,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,California,Huntington Beach,92646,West,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,Florida,Jacksonville,32216,South,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,Utah,Logan,84321,West,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,Illinois,Chicago,60653,Central,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,Florida,Tampa,33614,South,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,North Carolina,Raleigh,27604,South,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,Mississippi,Jackson,39212,South,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,Pennsylvania,Philadelphia,19134,East,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,Minnesota,Lakeville,55044,Central,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,Texas,Dallas,75217,Central,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,California,Burbank,91505,West,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,California,San Francisco,94110,West,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,Florida,Lakeland,33801,South,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,Virginia,Springfield,22153,South,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,Tennessee,Knoxville,37918,South,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,Ohio,Hamilton,45011,East,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,North Carolina,Asheville,28806,South,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,Arizona,Tucson,85705,West,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,North Carolina,Greensboro,27405,South,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,Indiana,Portage,46368,Central,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,Florida,Delray Beach,33445,South,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,California,Los Angeles,90036,West,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,California,Fresno,93727,West,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,California,Pomona,91767,West,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,California,San Francisco,94122,West,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,Iowa,Des Moines,50315,Central,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,New Mexico,Albuquerque,87105,West,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,Ohio,Springfield,45503,East,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,Texas,Plano,75023,Central,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,Texas,Brownsville,78521,Central,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,Minnesota,Apple Valley,55124,Central,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,Washington,Seattle,98105,West,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,New York,Long Beach,11561,East,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,Florida,Miami,33180,South,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,Illinois,Chicago,60610,Central,201903_Orders_2019_04_10_03_28_07.csv,201903
United States,California,Vallejo,94591,West,201904_Orders_2019_05_02_04_10_00.csv,201904
United States,Massachusetts,Revere,2151,East,201904_Orders_2019_05_02_04_10_00.csv,201904
United States,Virginia,Virginia Beach,23464,South,201904_Orders_2019_05_02_04_10_00.csv,201904
United States,Georgia,Athens,30605,South,201904_Orders_2019_05_02_04_10_00.csv,201904
United States,Texas,Houston,77095,Central,201904_Orders_2019_05_02_04_10_00.csv,201904
United States,California,Los Angeles,90008,West,201904_Orders_2019_05_02_04_10_00.csv,201904
United States,Louisiana,Lafayette,70506,South,201904_Orders_2019_05_02_04_10_00.csv,201904
United States,Michigan,Detroit,48205,Central,201904_Orders_2019_05_02_04_10_00.csv,201904
United States,California,San Francisco,94109,West,201904_Orders_2019_05_02_04_10_00.csv,201904
United States,Illinois,Decatur,62521,Central,201904_Orders_2019_05_02_04_10_00.csv,201904
United States,Kentucky,Richmond,40475,South,201904_Orders_2019_05_02_04_10_00.csv,201904
United States,Virginia,Alexandria,22304,South,201904_Orders_2019_05_02_04_10_00.csv,201904
United States,Michigan,Dearborn Heights,48127,Central,201904_Orders_2019_05_02_04_10_00.csv,201904
United States,New York,New York City,10035,East,201904_Orders_2019_05_02_04_10_00.csv,201904
United States,California,Los Angeles,90004,West,201904_Orders_2019_05_02_04_10_00.csv,201904
United States,Washington,Seattle,98115,West,201904_Orders_2019_05_02_04_10_00.csv,201904
United States,Pennsylvania,Philadelphia,19143,East,201904_Orders_2019_05_02_04_10_00.csv,201904
United States,Pennsylvania,Lancaster,17602,East,201904_Orders_2019_05_02_04_10_00.csv,201904
United States,California,Los Angeles,90049,West,201904_Orders_2019_05_02_04_10_00.csv,201904
United States,Alabama,Mobile,36608,South,201904_Orders_2019_05_02_04_10_00.csv,201904
United States,Georgia,Marietta,30062,South,201904_Orders_2019_05_02_04_10_00.csv,201904
United States,South Carolina,Columbia,29203,South,201904_Orders_2019_05_02_04_10_00.csv,201904
United States,Arizona,Glendale,85301,West,201904_Orders_2019_05_02_04_10_00.csv,201904
United States,Ohio,Toledo,43615,East,201904_Orders_2019_05_02_04_10_00.csv,201904
United States,Arizona,Chandler,85224,West,201904_Orders_2019_05_02_04_10_00.csv,201904
United States,California,Concord,94521,West,201904_Orders_2019_05_02_04_10_00.csv,201904
United States,Alabama,Decatur,35601,South,201904_Orders_2019_05_02_04_10_00.csv,201904
United States,Florida,Miami,33180,South,201904_Orders_2019_05_02_04_10_00.csv,201904
United States,Montana,Great Falls,59405,West,201904_Orders_2019_05_02_04_10_00.csv,201904
United States,Texas,Austin,78745,Central,201904_Orders_2019_05_02_04_10_00.csv,201904
United States,Idaho,Lewiston,83501,West,201904_Orders_2019_05_02_04_10_00.csv,201904
United States,California,Redondo Beach,90278,West,201904_Orders_2019_05_02_04_10_00.csv,201904
United States,California,Lodi,95240,West,201904_Orders_2019_05_02_04_10_00.csv,201904
United States,Indiana,Bloomington,47401,Central,201904_Orders_2019_05_02_04_10_00.csv,201904
United States,Maryland,Baltimore,21215,East,201904_Orders_2019_05_02_04_10_00.csv,201904
